mfa_id,name,provider
-8,Umo,OD
-7,Oting,OD
-6,Knewstar,OD
-5,Sollers,OD
-4,Eviolute,OD
-3,Sollers,OD
-2,DW Hower,OD
-1,Tenet,OD
1,Aebi,TD
2,Alfa Romeo,TD
3,Auto Union,TD
5,Audi,TD
6,Austin,TD
10,Bedford,TD
16,BMW,TD
20,Chrysler,TD
21,Citroen,TD
24,Daf,TD
25,Daihatsu,TD
26,Daimler,TD
29,Dodge,TD
30,Drögmöller,TD
35,Fiat,TD
36,Ford,TD
39,Gmc,TD
45,Honda,TD
52,Innocenti,TD
53,International Harv.,TD
54,Isuzu,TD
55,Iveco,TD
56,Jaguar,TD
63,Lada,TD
64,Lancia,TD
65,Leyland,TD
67,Mack,TD
68,Magirus-Deutz,TD
69,Man,TD
72,Mazda,TD
74,Mercedes Benz,TD
75,Mg,TD
77,Mitsubishi,TD
78,Morris,TD
79,Multicar,TD
80,Nissan,TD
81,Nsu,TD
83,Om,TD
84,Opel,TD
88,Peugeot,TD
92,Porsche,TD
93,Renault,TD
95,Rover,TD
99,Saab,TD
103,Scania,TD
104,Seat,TD
106,Skoda,TD
107,Subaru,TD
109,Suzuki,TD
110,Talbot,TD
111,Toyota,TD
112,Triumph,TD
116,Van Hool,TD
117,Vauxhall,TD
120,Volvo,TD
121,Volkswagen,TD
124,Zastava,TD
126,Öaf,TD
128,Agrale,TD
131,Astra,TD
132,Avia,TD
134,Barkas,TD
136,Borgward,TD
137,Bova,TD
138,Chevrolet,TD
139,Dacia,TD
140,Dennis,TD
142,Ebro,TD
143,Erf,TD
147,Freightliner,TD
148,ГАЗ,TD
150,Heuliez,TD
151,Hino,TD
153,Karosa,TD
155,Kenworth,TD
161,Mercury,TD
162,Neoplan,TD
164,Padane,TD
166,Peterbilt,TD
171,Santana,TD
174,Sisu,TD
175,Ssangyong,TD
176,Steyr,TD
178,Tata,TD
179,Tatra,TD
181,Piaggio,TD
182,Western Star,TD
183,Hyundai,TD
184,Kia,TD
185,Daewoo,TD
186,Wartburg,TD
187,Trabant,TD
609,Ac,TD
661,Case Ih,TD
669,Massey Ferguson,TD
670,Mwm,TD
674,Same,TD
675,Solo,TD
678,Zuendapp,TD
694,Renault Trucks,TD
700,Ferrari,TD
701,Lamborghini,TD
705,Rolls-Royce,TD
750,Claas,TD
751,Deutz-Fahr,TD
752,Fendt,TD
755,John Deere,TD
771,Maserati,TD
773,Reliant,TD
774,Pontiac,TD
775,Daewoo,TD
776,Ford,TD
778,Proton,TD
788,Bugatti,TD
799,Autobianchi,TD
801,Isuzu,TD
802,Lotus,TD
803,Morgan,TD
807,Datsun,TD
808,Ford Otosan,TD
810,Alpine,TD
812,Glas,TD
813,Москвич,TD
815,Bentley,TD
816,Buick,TD
819,Cadillac,TD
824,Eagle,TD
829,Foden Trucks,TD
831,Geo,TD
832,Ginaf,TD
837,Jcb,TD
842,Lexus,TD
843,Mcw,TD
845,Mega,TD
849,Optare,TD
850,Plymouth,TD
851,Premier,TD
860,Terberg-Benschop,TD
861,Tvr,TD
865,Berkhof,TD
866,Alpina,TD
879,Asia Motors,TD
880,Puma,TD
881,Aston Martin,TD
882,Jeep,TD
907,Westfield,TD
908,Maruti,TD
937,Caterpillar,TD
976,Kramer,TD
977,Kubota,TD
979,Landini,TD
1021,Yamaha,TD
1025,Gueldner,TD
1033,Agco,TD
1039,Bautz,TD
1040,Bcs,TD
1048,Carraro,TD
1049,Cbt,TD
1057,Eicher,TD
1060,Fahr,TD
1063,Goldoni,TD
1111,Zetor,TD
1131,Kawasaki,TD
1138,Smart,TD
1139,ЗАЗ,TD
1141,Oldsmobile,TD
1200,Lincoln,TD
1280,Mahindra,TD
1360,Aro,TD
1380,Ldv,TD
1480,Aixam,TD
1485,Bertone,TD
1486,Bitter,TD
1487,Bristol,TD
1488,Callaway,TD
1489,Carbodies,TD
1490,Caterham,TD
1491,Checker,TD
1493,Dallas,TD
1494,De Lorean,TD
1495,De Tomaso,TD
1496,Ford,TD
1497,Saturn,TD
1498,Ginetta,TD
1499,Hindustan,TD
1500,Hobbycar,TD
1503,Envemo,TD
1505,Acura,TD
1506,Hummer,TD
1507,Indigo,TD
1508,Irmscher,TD
1509,Isdera,TD
1511,Jensen,TD
1513,Ligier,TD
1515,Luaz,TD
1516,Marcos,TD
1518,Mclaren,TD
1520,Metrocab,TD
1521,Middlebridge,TD
1522,Minelli,TD
1523,Mini,TD
1526,Infiniti,TD
1527,Oltcit,TD
1529,Osca,TD
1530,Panoz,TD
1531,Panther,TD
1533,Perodua,TD
1534,Ranger,TD
1536,Rayton Fissore,TD
1537,Bond,TD
1538,Austin-Healey,TD
1539,Riley,TD
1540,Sterling,TD
1541,Wolseley,TD
1544,San,TD
1545,Sao,TD
1547,Shelby,TD
1548,Sipani,TD
1549,Spectre,TD
1550,Standard Automobile,TD
1551,Tofas,TD
1553,УАЗ,TD
1554,Umm,TD
1555,Vector,TD
1556,Venturi,TD
1558,Wiesmann,TD
1559,Yulon,TD
1580,Puch,TD
1820,Land Rover,TD
2115,Irisbus,TD
2144,Vm,TD
2162,Ayats,TD
2164,Maybach,TD
2208,Dina,TD
2241,Ashok Leyland,TD
2242,Askam,TD
2243,Bmc,TD
2245,Maz,TD
2246,Amc,TD
2249,Gurgel,TD
2254,Miura,TD
2256,Pegaso,TD
2395,Bredamenarinibus,TD
2407,Leyland-Innocenti,TD
2453,Kamaz,TD
2460,International,TD
2488,Setra,TD
2524,Aprilia,TD
2526,Armstrong Siddeley,TD
2532,Benelli,TD
2554,Cagiva,TD
2589,Landwind (Jmc),TD
2590,Geely,TD
2601,Marbus,TD
2621,Kymco,TD
2637,New Holland,TD
2667,Temsa,TD
2671,Valtra,TD
2697,Sterling Trucks,TD
2706,Asüna,TD
2707,Avanti,TD
2708,Bricklin,TD
2709,Excalibur,TD
2710,Laforza,TD
2711,Merkur,TD
2712,Qvale,TD
2713,Saleen,TD
2714,Scion,TD
2715,Studebaker,TD
2716,Sunbeam,TD
2736,Zhonghua (Brilliance),TD
2749,Bremach,TD
2755,Spyker,TD
2758,Camc,TD
2759,Ducati,TD
2760,Ktm,TD
2761,Mv Agusta,TD
2775,Am General,TD
2784,Desoto,TD
2794,Hillman,TD
2798,Isotta Fraschini,TD
2806,Packard,TD
2808,Rambler,TD
2810,Stanguellini,TD
2815,Willys,TD
2816,Yugo,TD
2845,Auverland,TD
2847,Anchi,TD
2848,Anfini,TD
2849,Bajaj Tempo,TD
2850,Force,TD
2851,Jeep (Bjc),TD
2852,Changan,TD
2853,Changhe,TD
2854,DongFeng,TD
2857,Eunos,TD
2858,Audi (Faw),TD
2859,Volkswagen,TD
2862,DongFeng,TD
2863,Fengxing,TD
2864,Ford Asia & Oceania,TD
2866,Hafei,TD
2867,Foton,TD
2871,Hongqi,TD
2872,Huali,TD
2873,Jac,TD
2874,Wuling,TD
2875,Fuqi,TD
2887,Chery,TD
2888,Jinbei,TD
2889,Changfeng,TD
2890,Faw (Tianjin),TD
2891,Citroën (Df-Psa),TD
2901,Dadi,TD
2902,Gonow,TD
2903,Great Wall,TD
2904,Mitsuoka,TD
2905,Maple (Sma),TD
2906,Baolong,TD
2908,Jiangnan,TD
2909,Faw (Jilin),TD
2910,Nissan,TD
2911,ZX,TD
2913,Tongtian,TD
2915,Casalini,TD
2916,Chatenet,TD
2924,Fap,TD
2926,Grecav,TD
2927,Irizar,TD
2929,Otokar,TD
2931,Solaris,TD
2932,Zil,TD
3035,Volkswagen,TD
3036,Haima,TD
3038,Chenglong,TD
3040,Jmc,TD
3046,Pininfarina,TD
3047,Lti,TD
3048,Tianma,TD
3069,Derways,TD
3070,Naza,TD
3071,Baw,TD
3076,Brilliance,TD
3084,Iran Khodro,TD
3086,Lifan,TD
3122,Byd,TD
3123,Hyundai,TD
3124,Bmw (Brilliance),TD
3125,Ford (Changan),TD
3126,Honda,TD
3127,Kia,TD
3128,Hyundai (Huatai),TD
3129,Honda,TD
3130,Toyota,TD
3131,Fiat (Nanjing),TD
3132,Nac Iveco (Naveco),TD
3133,Mg (Nanjing),TD
3136,Buick,TD
3137,Toyota,TD
3138,Mazda,TD
3139,Isuzu (Qingling),TD
3140,Wuling (Sgmw),TD
3141,Nissan,TD
3143,Suzuki (Changan),TD
3152,Dongfeng Xiaokang,TD
3153,Soyat,TD
3154,Polarsun,TD
3155,Huizhong,TD
3156,Shuanghuan,TD
3157,Tianqi Meiya,TD
3158,Golden Dragon,TD
3159,Ufo,TD
3160,Zotye,TD
3186,Xinkai,TD
3191,Wanfeng,TD
3193,Yuejin,TD
3194,Carlarky,TD
3196,Gac,TD
3199,Suzuki (Changhe),TD
3202,Roewe (Saic),TD
3267,Europestar,TD
3274,Daihatsu (Faw),TD
3276,Hsv,TD
3282,Plaxton,TD
3284,Rely,TD
3285,Riich,TD
3286,Karry,TD
3297,Fpv,TD
3300,Avior,TD
3328,Tesla,TD
3332,Geely,TD
3443,Tazzari,TD
3495,Artega,TD
3497,Dr,TD
3500,Gruau,TD
3507,Icml,TD
3514,Think,TD
3522,Mercedes-Benz (Fjda),TD
3526,Anadol,TD
3527,Chevrolet,TD
3528,Cadillac (Sgm),TD
3530,Skoda (Svw),TD
3531,Peugeot (Df-Psa),TD
3532,Mazda (Changan),TD
3533,Volvo (Changan),TD
3549,Suzuki,TD
3551,Maz-Man,TD
3554,Mahindra Renault,TD
3555,Reva,TD
3562,Hawtai,TD
3610,Faw,TD
3618,Effedi,TD
3620,Ud Trucks,TD
3625,Noble,TD
3645,Mercedes-Benz (Bbdc),TD
3646,Chrysler (Bbdc),TD
3650,Mitsubishi (Bjc),TD
3651,Chevrolet (Sgmw),TD
3652,Effa,TD
3656,Ford,TD
3657,Soueast,TD
3658,Mitsubishi (Soueast),TD
3659,Dongfeng,TD
3661,Lotus (Youngman),TD
3677,Inokom,TD
3678,Chamonix,TD
3679,Lobini,TD
3680,Tac,TD
3681,Troller,TD
3687,Allgaier,TD
3688,Bucher,TD
3689,Ram,TD
3696,Workhorse,TD
3697,Gleagle,TD
3704,Englon,TD
3719,Coda,TD
3729,Bharatbenz,TD
3738,Fisker,TD
3740,Pyeonghwa (Pmc),TD
3741,Mitsubishi,TD
3742,Luxgen,TD
3750,Vdl,TD
3752,Vpg,TD
3761,Fiat (Gac),TD
3762,FAW,TD
