let_eng_id,let_type_id,case
2837,6793,PC
26103,18142,PC
25303,157388,PC
8878,5439,CV
35871,145548,PC
16899,13579,CV
5647,38665,CV
26806,12835,PC
8157,59224,CV
5760,58513,CV
17892,17246,PC
34129,58615,PC
36589,141081,PC
33799,127810,PC
6681,3650,CV
43671,125278,PC
23658,106856,PC
25103,13334,CV
40925,40793,CV
19133,129039,PC
5822,751,CV
20938,24493,PC
39867,22070,PC
51260,157152,PC
43286,117299,PC
18827,55095,CV
28531,53897,PC
32960,132546,PC
301,1460,PC
38482,52225,CV
19095,53954,CV
32777,109075,PC
22199,26649,PC
8199,58373,CV
45747,146611,PC
17988,18329,PC
8826,5197,CV
20959,2936,PC
30828,111940,PC
37765,48677,CV
9243,20619,CV
19017,9455,CV
8853,4517,CV
3515,5078,PC
18368,142047,PC
21997,116410,PC
36315,119011,PC
14048,5950,CV
7789,56323,CV
20882,14103,CV
39397,30760,PC
22150,66279,CV
53505,159899,PC
28965,11953,CV
23696,17909,CV
21169,30117,PC
18677,133425,PC
33123,801378,CV
16826,53761,CV
7764,65694,CV
28149,57272,CV
7769,53805,CV
32994,119634,PC
20585,31036,PC
36444,116563,PC
18592,32239,PC
24043,801707,PC
17495,6799,PC
21057,36173,CV
44977,43914,CV
23826,122584,PC
17447,7875,CV
19947,53902,PC
2118,682,PC
30964,110455,PC
43534,157566,PC
39183,106635,PC
46314,5367,PC
17878,13636,CV
28917,54055,CV
43601,109245,PC
36045,39041,CV
28147,17658,CV
30218,13476,PC
2544,29767,PC
46533,51605,CV
14428,55452,PC
33911,15934,CV
29640,14493,CV
31186,14806,PC
3500,5331,PC
43949,29195,PC
34718,160042,PC
46633,148585,PC
24782,33040,PC
26604,9930,PC
32115,36228,CV
39730,139342,PC
4990,1868,PC
52339,136159,PC
28475,57022,CV
44620,107967,PC
40605,138671,PC
7766,53695,CV
17372,8811,CV
37597,31829,CV
7759,56175,CV
43534,109952,PC
29535,124131,PC
21099,65760,CV
9868,11424,PC
16378,57455,PC
45113,45552,CV
38133,40601,CV
21957,129848,PC
27618,21626,CV
25452,9252,CV
25519,15991,CV
11987,36025,PC
29199,802252,CV
35242,23938,CV
3308,2106,PC
2225,949,PC
15609,135277,PC
18337,45209,PC
17372,53762,CV
30705,131507,PC
21766,21445,PC
42111,106774,PC
22441,26223,PC
37569,129260,PC
16903,794,CV
44676,119966,PC
19644,21217,PC
28158,17326,CV
44043,133615,PC
22406,124494,PC
16050,15292,PC
28135,62074,CV
33588,124119,PC
19017,60174,CV
43613,51709,PC
18827,54961,CV
40361,34270,CV
47540,15614,CV
28082,35390,CV
4591,2652,PC
5736,8309,CV
35916,27292,CV
22885,10471,PC
42743,6157,PC
9529,8888,PC
49234,153269,PC
36350,37664,PC
50050,801023,PC
36282,125378,PC
49189,800008,PC
37622,42113,CV
27600,46447,CV
24631,123276,PC
27576,47990,CV
9158,4192,CV
4744,9406,PC
17937,10382,PC
23163,66004,CV
17245,13850,CV
8126,169,CV
7661,14183,CV
42844,50338,PC
22715,28167,PC
38901,48149,CV
45695,803035,CV
7877,58227,CV
33911,33515,CV
47540,35376,CV
20849,33373,PC
18251,17615,PC
16984,135864,PC
9614,301,CV
21225,18583,PC
27247,53480,PC
39915,143694,PC
22694,22457,PC
17991,101066,PC
17641,7926,CV
12829,15914,PC
29663,29401,PC
41113,119336,PC
45470,134295,PC
33163,33667,PC
20613,140719,PC
45959,51197,CV
36157,149411,PC
38717,32913,CV
27720,20806,CV
33736,35774,CV
40698,41199,CV
27236,124605,PC
33050,118150,PC
38977,63412,CV
31939,31115,CV
32058,117316,PC
2737,8997,PC
3835,49350,PC
37811,45862,CV
7789,56285,CV
39196,32542,CV
45741,59584,PC
37752,44818,CV
32534,140932,PC
24499,12827,CV
26990,152991,PC
47226,148728,PC
18130,22495,PC
32499,143423,PC
19778,12628,PC
16519,10324,CV
38108,47319,CV
37705,136864,PC
26541,143166,PC
36800,27077,CV
24405,18761,PC
23721,39443,CV
22151,801897,CV
28178,120124,PC
39520,25458,PC
16332,128169,PC
27605,15805,CV
40362,34346,CV
22959,37107,CV
45970,50434,CV
40281,34597,CV
3726,26042,PC
5186,3058,PC
35012,33418,CV
42601,30730,PC
43534,41318,PC
45607,800868,PC
8225,58271,CV
21057,41489,CV
25519,15943,CV
26211,145634,PC
40934,43092,CV
28914,100573,PC
8024,34210,PC
53186,800456,PC
21186,25168,PC
37727,29486,CV
4154,1846,PC
35013,33329,CV
24514,27705,CV
38096,32261,CV
45696,802764,CV
5080,2260,PC
23690,12044,CV
38253,46313,CV
29281,145330,PC
24405,58371,PC
24545,119917,PC
27839,59493,PC
26782,125674,PC
20180,24319,CV
19094,8674,CV
2452,20367,PC
53341,160999,PC
24019,37730,CV
22090,20680,PC
8814,5199,CV
32358,15177,PC
37119,802105,CV
36643,31750,PC
35012,33385,CV
45697,50758,CV
3111,23509,PC
28131,20477,CV
23981,33806,PC
45549,150094,PC
7789,20671,CV
28563,21837,CV
22700,2415,PC
44931,43825,CV
17454,61748,CV
36818,51115,CV
5066,2265,PC
42851,35973,PC
36345,114161,PC
35167,49972,CV
38312,151933,PC
25210,58725,PC
36818,50837,CV
35528,147226,PC
53499,159891,PC
5724,148,CV
6613,34321,CV
7658,53891,CV
31937,32139,CV
33911,16249,CV
26968,107845,PC
8826,5221,CV
20039,142738,PC
37598,31606,CV
30253,141229,PC
16455,29000,PC
23981,9737,PC
28417,21375,PC
25146,10113,PC
45951,146490,PC
45794,147098,PC
35242,50052,CV
33885,139056,PC
34661,24196,PC
25519,35420,CV
44810,801682,CV
19345,57016,PC
35167,23907,CV
36818,50891,CV
26535,145847,PC
9690,15598,PC
19963,22808,CV
47633,800474,PC
37563,110491,PC
18645,61732,CV
13335,10993,CV
30716,131483,PC
47671,145431,PC
20368,11559,CV
742,121740,PC
31122,3570,PC
20466,8242,CV
25061,33395,PC
33837,154453,PC
37521,136324,PC
17313,43008,PC
15415,10041,CV
26810,34789,PC
36892,134944,PC
24492,43929,CV
23818,125517,PC
30935,53683,PC
24021,37595,CV
17372,11388,CV
18222,19216,PC
23706,25463,PC
25839,12182,PC
38202,42206,CV
27015,14807,CV
39559,132582,PC
19166,58968,CV
12772,10073,CV
33894,133041,PC
16784,3550,CV
47540,33335,CV
38878,30941,CV
36816,57,PC
38406,119471,PC
45571,148253,PC
9112,26209,CV
20372,31182,CV
45653,142424,PC
13968,5895,CV
31067,131193,PC
10573,2270,CV
19160,20794,CV
3728,17257,PC
17169,5802,PC
29042,40589,CV
36809,134672,PC
37401,36886,CV
15309,117932,PC
1876,9731,PC
7780,65605,CV
43737,13777,PC
40468,29107,CV
20879,17972,CV
37784,39514,CV
29841,108613,PC
23658,54785,PC
44819,44705,CV
17050,11915,CV
28082,15612,CV
9479,133631,PC
28082,16064,CV
9169,4221,CV
26897,56157,PC
23709,143078,PC
5736,528,CV
48311,151539,PC
23499,32961,PC
41377,119540,PC
26239,133717,PC
12448,10469,PC
27715,26345,CV
41038,38985,CV
38013,46728,CV
26755,105659,PC
19017,11694,CV
44581,41728,CV
25519,16050,CV
27267,19932,PC
25552,19062,PC
37193,44031,PC
38103,46508,CV
37499,26846,CV
48179,151389,PC
44037,59648,PC
20928,1878,PC
7661,1028,CV
34607,41157,CV
