eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
30517,LE0,175,180,238,245,3.6,94,6,24,бензин
13990,T 4.40 B/3,99,102,135,139,4,100,4,8,Дизель
16189,F4P 760,88,,120,,1.8,82.7,4,16,бензин
23172,OM 344.938,115,125,156,170,5.7,97,6,12,Дизель
46056,4D37,100,125,136,170,3.9,104,4,16,Дизель
7645,D 0226 MF,92,100,125,136,5.7,102,6,12,Дизель
2346,4G93 (SOHC 16V),81,115,110,156,1.8,81,4,16,бензин
50280,5GB (EP6FADTXHPP),147,,200,,1.6,77,4,16,бензин
43981,UYH477,324,324,441,441,5,83.9,12,24,бензин
21321,9HT (DV6BTED4),55,,75,,1.6,75,4,16,Дизель
48536,TZ180XS000,60,,82,,,,,,электричество
34248,LY8,59,,80,,1.3,74,4,16,бензин
33179,M2DB,74,,100,,1,71.9,3,12,бензин
35550,2NR-FBE,71,81,97,110,1.5,72.5,4,16,бензин
27997,JTJA,134,,182,,1.6,79,4,16,бензин
661,HDZ (TU1M),40,44,55,60,1.1,72,4,8,бензин
36281,G4NH,110,,150,,2,81,4,16,бензин
27958,CRKB,81,,110,,1.6,79.5,4,16,Дизель
49600,M9T 708,100,120,136,163,2.3,85,4,16,Дизель
44984,ISBe6.7E4-300,221,,300,,6.7,107,6,24,Дизель
41129,JE4D25Q6A,110,,150,,2.5,,4,16,Дизель
1930,B6,64,66,87,90,1.6,78,4,16,бензин
1949,BP (DOHC),92,96,125,130,1.8,83,4,16,бензин
24219,DV11S,287,324,390,440,11,128,6,24,Дизель
33739,C2L 710,46,59,63,80,1.6,77,4,8,бензин
17875,F 2L 812,15,21,20,28,1.7,95,2,4,Дизель
45904,TNN4G15A,82,,112,,1.5,75,4,16,бензин
37568,B48 A20 E,200,225,272,306,2,82,4,16,бензин
15904,BHDB,55,57,75,78,1.8,82.5,4,8,Дизель
42676,LNG04,5,5,7,7,0.05,,1,,бензин
42474,FP55,84,84,114,114,1.8,83,4,16,бензин
40476,DTSB,110,,150,,2,81,4,16,Дизель
32010,4G20-C,75,,102,,2,86,4,8,бензин
28884,B 16 DTL,81,,110,,1.6,79.7,4,16,Дизель
31266,ZY66,75,83,102,113,1.5,78,4,16,бензин
37930,F2CE0681C*B052,250,,340,,8.7,117,6,24,Дизель
7775,D 2866 F/240,177,,240,,12,128,6,12,Дизель
37193,LS4(454CUV8),160,257,218,350,7.4,107.95,8,16,бензин
37261,G13B,56,64,76,87,1.3,74,4,16,бензин
42450,16A,37,37,50,50,1.6,69.5,4,8,бензин
49092,F3.8NS6B156,115,,156,,3.8,,4,16,Дизель
26949,22DIE,45,,61,,2.2,88,4,8,Дизель
34714,A 24 XF,123,126,167,171,2.4,88,4,16,бензин
23311,BUJ,386,,525,,5.2,84.5,10,40,бензин
16132,VQ35,162,201,220,273,3.5,95.5,6,24,бензин
45353,ISF2.8-S3129T,96,96,130,131,2.8,94,4,16,Дизель
28045,G6DJ,228,260,310,354,3.8,96,6,24,бензин
6695,B,53,59,78,80,3,95,4,8,Дизель
44663,CAF384WQ2P,123,,167,,1.5,,3,12,бензин
39350,DK15-01,85,,116,,1.5,75,4,16,бензин
45769,F4GA,107,,145,,2,82,4,16,Бензин/спирт
35659,SFDC,63,,85,,1,71.9,3,12,бензин
51166,DXNB,142,,193,,2,81,4,16,Дизель
3512,B201S,107,,145,,2,90,4,8,бензин
18483,2AD-FHV,100,130,136,177,2.2,86,4,16,Дизель
31994,4G22-D4,104,,141,,2.2,91,4,16,бензин
8040,OM 616.914,53,,72,,2.4,91,4,8,Дизель
34787,CZDD,92,,125,,1.4,74.5,4,16,бензин
33908,YC6MK340-40,250,,340,,10.3,123,6,24,Дизель
6638,DKX 1160 ATi,260,,354,,11.6,130,6,12,Дизель
266,HP,85,,115,,2,81,5,10,бензин
33433,B36 A15 A,75,100,102,136,1.5,82,3,12,бензин
2855,RFY (XU10J4Z),110,112,150,152,2,86,4,16,бензин
25120,VC,59,60,80,82,1.8,80,4,8,бензин
52398,DNFF,245,,333,,2,82.5,4,16,бензин
41180,B 4204 T41,180,,245,,2,82,4,16,бензин
21540,N46 B20 CC,100,115,136,156,2,84,4,16,бензин
11511,8210.42.235,265,,360,,13.8,137,6,12,Дизель
4622,A112 B2.000,29,32,40,44,0.9,65,4,8,бензин
4460,KA24E,91,,124,,2.4,89,4,12,бензин
26410,4G63 (SOHC 16V),78,101,106,137,2,85,4,16,бензин
28261,M2GA,74,,100,,1,71.9,3,12,бензин
24451,CFGB,125,,170,,2,81,4,16,Дизель
43948,YVDA,287,287,390,390,2.3,87.5,4,16,бензин
42431,M5R,106,110,144,150,2,84,4,16,бензин
43670,G6DJ,232,232,316,316,3.8,96,6,24,бензин
20920,CFLA,173,,235,,3.2,84,6,24,бензин
45951,K15C,75,77,102,105,1.5,74,4,16,Бензин/газ
51316,MF,345,347,469,472,5,93,8,32,бензин
30250,B46 A20 A,120,155,163,211,2,,4,16,бензин
42036,CHE110,63,63,86,86,1.8,90.4,4,8,бензин
31185,M52 B28 (286ST5),224,,305,,3.4,87,6,24,бензин
4319,CL 61,35,,48,,1,76,3,6,Дизель
17068,BDB,184,,250,,3.2,84,6,24,бензин
39794,BYD-3425TZ-XS-A,180,,245,,,,,,электричество
43939,TL21S,112,112,152,152,2.1,93.2,4,8,бензин
38420,BLFA,125,,170,,2,84.01,4,16,Дизель
40311,AL 402 LTC,54,120,73,163,6.5,107.18,6,12,Дизель
37883,MC05.21-50,148,,201,,4.6,108,4,16,Дизель
7800,D 2566 MK/280,206,,280,,11.4,125,6,12,Дизель
40748,CY4102-C3B,100,,136,,3.9,102,4,16,Дизель
34792,HFC4DB1.2D,100,102,136,139,1.9,83,4,16,Дизель
21098,F4AE3681B,160,,218,,5.9,102,6,24,Дизель
648,E1A,35,40,48,54,1.1,72,4,8,бензин
37379,LIV,92,,125,,1,,3,12,бензин
44498,D 420 T8,88,145,120,197,2,82,4,16,Дизель
26412,K5A (TU3),47,51,64,69,1.4,75,4,8,бензин
29897,M9T 870,74,81,100,110,2.3,85,4,16,Дизель
17507,RHR (DW10BTED4),100,103,136,140,2,85,4,16,Дизель
2675,28 E,118,121,160,165,2.8,92,6,12,бензин
20514,BWB,51,,70,,1.4,79.5,3,6,Дизель
52927,D 2676 LF AG,350,,476,,12.4,126,6,24,Дизель
43577,B5,59,59,80,80,1.5,78,4,8,бензин
17260,BF 4M 2012 C*,84,93,114,126,4,101,4,8,Дизель
3382,J8S 702,63,,86,,2.1,86,4,8,Дизель
26214,MR20,106,110,144,150,2,84,4,16,бензин
44632,BCCC,140,,190,,2,84,4,16,Дизель
38333,DFNB,48,,65,,1,74.5,3,12,бензин
45685,E13C-US,331,,450,,12.9,137,6,24,Дизель
43433,123,26,28,35,38,0.6,73.5,2,4,бензин
9401,MN,33,,45,,1.3,75,4,8,Дизель
17061,F4R 797,120,125,163,170,2,82.7,4,16,бензин
43269,BFR522V,423,423,575,575,6,87,12,48,бензин
26880,JM491Q-ME,76,,103,,2.2,91,4,8,бензин
34088,VQ25HR,164,,223,,2.5,85,6,24,бензин
25874,IQDB,77,,105,,1.6,79,4,16,бензин
17201,F 3L 913,35,44,48,60,3.1,102,3,6,Дизель
3962,B 28 A,95,97,129,132,2.8,91,6,12,бензин
19199,BWA,147,,200,,2,82.5,4,16,бензин
42023,B302,19,28,26,38,0.8,70,3,,бензин
34894,JL476ZQCD,105,115,143,156,1.5,76,4,16,бензин
46320,1E13(J4C),44,,60,,1.3,74,4,8,бензин
39788,EM 780.998,300,,408,,,,,,электричество
43753,AS346,92,92,125,125,3.4,90,6,12,бензин
42716,H,60,60,82,82,1.6,87.3,4,8,бензин
16320,YD22ETI,84,100,114,136,2.2,86,4,16,Дизель
38603,FE6T,160,,217,,6.9,108,6,12,Дизель
42539,VA,93,95,126,129,2,90.3,4,16,бензин
54698,FE,74,,101,,2,86,4,12,бензин
38030,CA6DM2-39E3,300,,408,,11,123,6,24,Дизель
38943,WP4.165E40,121,,165,,4.5,105,4,8,Дизель
48009,SQR372,15,39,20,53,0.8,72,3,12,бензин
2883,KF5,71,,97,,1.8,84,4,8,бензин
18199,BLR,110,,150,,2,82.5,4,16,бензин
3820,4A-FE,66,136,90,185,1.6,81,4,16,бензин
30899,CSSA,110,,150,,1.4,74.5,4,16,бензин
30199,CAF488WQ3,149,,203,,2,87.5,4,16,бензин
12082,JJD,36,,49,,1.3,74,4,8,бензин
25239,4A30,37,47,50,64,0.7,60,4,16,бензин
23623,D 5244 T14,129,,175,,2.4,81,5,20,Дизель
39964,21116,64,66,87,90,1.6,82,4,8,бензин
3254,F3N 722,66,70,90,95,1.7,81,4,8,бензин
45075,LJV,135,,184,,1.5,,4,16,бензин
20450,8140.43N,107,,146,,2.8,94.4,4,8,Дизель
45558,B4D 424,52,53,71,72,1,71,3,12,бензин
36153,JL473Q1,74,,101,,1.4,73,4,16,бензин
21826,D 4204 T2,96,98,131,133,2,85,4,16,Дизель
32439,N20 B20 A,135,180,184,245,2,84,4,16,бензин
13028,132 AZ2.000,51,,69,,1.9,84,4,8,бензин
28339,M20 B23 (236EC),102,110,139,150,2.3,80,6,12,бензин
30293,ISF3.8-S3150,110,120,150,163,3.8,102,4,16,Дизель
37530,TZ203XSA08000,130,,177,,,,,,электричество
29321,GA4G12,63,,86,,1.2,69.7,4,16,бензин
38496,BA,40,48,54,65,1.6,85.5,4,8,бензин
4765,20 XE,115,,156,,2,86,4,16,бензин
4866,F7R 710,108,110,147,150,2,82.7,4,16,бензин
18847,C20SED,81,94,110,128,2,86,4,16,бензин
22472,XC7,54,,73,,1.6,84,4,8,бензин
3078,852 710,49,,67,,2.1,86,4,8,Дизель
37602,D 0834 LFL 90,140,,190,,4.6,108,4,16,Дизель
45366,YC6K1243-50,316,,430,,12.2,129,6,24,Дизель
19501,JL465Q7,34,39,46,53,1,65.5,4,8,бензин
47372,DK12-05,65,,88,,1.2,,4,16,Бензин/газ
23380,4G18,74,,101,,1.6,76,4,16,бензин
36711,EB164,736,,1001,,8,86,16,64,бензин
34378,FA19,85,,116,,2,84,4,8,бензин
49504,TZ220XS000,220,,299,,,,,,электричество
23672,D 2066 LOH 26,235,,320,,10.5,120,6,24,Дизель
4447,F4B,54,55,73,75,1.4,77.25,4,8,бензин
20410,21 L,83,89,113,121,2.5,90.475,4,8,Дизель
36823,TZ220XSA5H01,132,,179,,,,,,электричество
38542,108C (XV8),33,,45,,1,70,4,8,бензин
34612,YC6J200-30,147,,200,,6.5,105,6,24,Дизель
24880,G4LA,55,65,75,88,1.2,71,4,16,Бензин/газ
42298,XU7JP4,82,82,112,112,1.8,83,4,16,бензин
19640,ZH16L1U,65,70,88,95,1.6,79,4,8,бензин
35718,C20HD0D,127,196,178,267,2,87.5,4,16,бензин
17905,AGR,66,,90,,1.9,79.5,4,8,Дизель
3240,F2N 754,65,,88,,1.7,81,4,8,бензин
42737,B14A,51,51,69,69,1.4,75,4,8,бензин
49,AR 06124,136,138,185,188,3,93,6,12,бензин
48125,4B1-82C43,60,,82,,2.2,85,4,8,Дизель
5808,OM 446.928,280,,381,,14.6,128,8,16,Дизель
19838,VQ25DDLE,154,,209,,2.5,85,6,24,бензин
42227,EF-KL,31,41,42,56,0.7,68,3,6,бензин
39724,SC7H260Q5,192,,261,,6.4,105,6,24,Дизель
