mfa_id,name
1,Aebi
2,Alfa Romeo
3,Auto Union
5,Audi
6,Austin
10,Bedford
16,Bmw
20,Chrysler
21,Citroen
24,Daf
25,Daihatsu
26,Daimler
29,Dodge
30,Drögmöller
35,Fiat
36,Ford
39,Gmc
45,Honda
52,Innocenti
53,International Harv.
54,Isuzu
55,Iveco
56,Jaguar
63,Lada
64,Lancia
65,Leyland
67,Mack
68,Magirus-Deutz
69,Man
72,Mazda
74,Mercedes-Benz
75,Mg
77,Mitsubishi
78,Morris
79,Multicar
80,Nissan
81,Nsu
83,Om
84,Opel
88,Peugeot
92,Porsche
93,Renault
95,Rover
99,Saab
103,Scania
104,Seat
106,Skoda
107,Subaru
109,Suzuki
110,Talbot
111,Toyota
112,Triumph
116,Van Hool
117,Vauxhall
120,Volvo
121,Volkswagen
124,Zastava
126,Öaf
128,Agrale
131,Astra
132,Avia
134,Barkas
136,Borgward
137,Bova
138,Chevrolet
139,Dacia
140,Dennis
142,Ebro
143,Erf
147,Freightliner
148,Gaz
150,Heuliez
151,Hino
153,Karosa
155,Kenworth
161,Mercury
162,Neoplan
164,Padane
166,Peterbilt
171,Santana
174,Sisu
175,Ssangyong
176,Steyr
178,Tata
179,Tatra
181,Piaggio
182,Western Star
183,Hyundai
184,Kia
185,Daewoo
186,Wartburg
187,Trabant
609,Ac
661,Case Ih
669,Massey Ferguson
670,Mwm
674,Same
675,Solo
678,Zuendapp
694,Renault Trucks
700,Ferrari
701,Lamborghini
705,Rolls-Royce
750,Claas
751,Deutz-Fahr
752,Fendt
755,John Deere
771,Maserati
773,Reliant
774,Pontiac
775,Fso
776,Ford Usa
778,Proton
788,Bugatti
799,Autobianchi
801,Holden
802,Lotus
803,Morgan
807,Datsun
808,Ford Otosan
810,Alpine
812,Glas
813,Moskvich
815,Bentley
816,Buick
819,Cadillac
824,Eagle
829,Foden Trucks
831,Geo
832,Ginaf
837,Jcb
842,Lexus
843,Mcw
845,Mega
849,Optare
850,Plymouth
851,Premier
860,Terberg-Benschop
861,Tvr
865,Berkhof
866,Alpina
879,Asia Motors
880,Puma
881,Aston Martin
882,Jeep
907,Westfield
908,Maruti
