ID марки,ID модели,Модель,Поколение,Тип кузова,Года поколения от,Года поколения до,Тип авто
1,11502,Tt,Tt,Tractor,1989,,CV
1,44085,Mt,Mt,Van,2015,,CV
2,278,145,145 (930_),Hatchback,1994,2001,PC
2,282,155,155 (167_),Saloon,1992,1997,PC
2,287,164,164 (164_),Saloon,1987,1998,PC
2,289,Spider,Spider (105_),Coupe,1966,1977,PC
2,291,33,33 (905_),Hatchback,1983,1993,PC
2,293,Spider,Spider (115_),Coupe,1971,1993,PC
2,295,33,33 (907_),Hatchback,1990,1994,PC
2,300,33 Sportwagon,33 Sportwagon (905_),Estate,1984,1989,PC
2,305,33 Sportwagon,33 Sportwagon (907_),Estate,1990,1994,PC
2,309,6,6 (119_),Saloon,1979,1986,PC
2,312,75,75 (162_),Saloon,1985,1992,PC
2,316,90,90 (162_),Saloon,1984,1987,PC
2,321,Alfasud,Alfasud (901_),Hatchback,1972,1985,PC
2,325,Alfasud Giardinetta,Alfasud Giardinetta (904_),Estate,1978,1981,PC
2,329,Alfasud Sprint,Alfasud Sprint (902_),Coupe,1976,1989,PC
2,334,Alfetta Gt,Alfetta Gt (116_),Coupe,1974,1986,PC
2,339,Alfetta,Alfetta (116_),Saloon,1974,1984,PC
2,345,Giulia,Giulia (105_),Saloon,1962,1979,PC
2,353,Arna,Arna (920_),Hatchback,1983,1986,PC
2,483,Giulietta,Giulietta (116_),Saloon,1977,1985,PC
2,536,Gt,Gt (105_),Coupe,1963,1977,PC
2,1321,146,146 (930_),Hatchback,1994,2001,PC
2,1460,Gtv,Gtv (916_),Coupe,1994,2005,PC
2,1461,Spider,Spider (916_),Coupe,1994,2005,PC
2,1818,1750-2000,1750-2000 (105_),Saloon,1968,1975,PC
2,1819,Montreal,Montreal (105_),Coupe,1972,1979,PC
2,2053,156,156 (932_),Saloon,1997,2005,PC
2,3389,Gtv,Gtv (116_),Coupe,1978,1987,PC
2,3507,Sz,Sz (162_),Coupe,1988,1994,PC
2,3602,Rz,Rz (162_),Coupe,1992,1994,PC
2,3686,Giulia Gt,Giulia Gt (105_),Coupe,1962,1980,PC
2,3847,Ar 6 Bus,Ar 6 Bus (280_),Bus,1985,1989,PC
2,3848,Ar 6 Van,Ar 6 Van (280_),Van,1985,1989,PC
2,3849,Ar 8 Van,Ar 8 Van (280_),Van,1978,1989,PC
2,3850,Ar 8 Platform/Chassis,Ar 8 Platform/Chassis (280_),Van,1978,1989,PC
2,3891,166,166 (936_),Saloon,1998,2007,PC
2,4625,Gta Coupe,Gta Coupe (113_),Coupe,1968,1976,PC
2,4626,2300,2300 (102_),Saloon,1974,1987,PC
2,4635,156 Sportwagon,156 Sportwagon (932_),Estate,1997,2006,PC
2,4735,147,147 (937_),Hatchback,2000,2010,PC
2,5080,Gt,Gt (937_),Coupe,2003,2010,PC
2,5452,159,159 (939_),Saloon,2005,2012,PC
2,5479,Brera,Brera (939_),Hatchback,2006,2011,PC
2,5543,159 Sportwagon,159 Sportwagon (939_),Estate,2005,2012,PC
2,5567,Spider,Spider (939_),Coupe,2006,2011,PC
2,7546,1900,1900 (190_),Saloon,1950,1959,PC
2,7547,2600 Sprint,2600 Sprint (117_),Coupe,1962,1966,PC
2,7548,2600 Spider,2600 Spider (117_),Coupe,1961,1965,PC
2,7549,2600 Berlina,2600 Berlina (117_),Saloon,1962,1969,PC
2,7550,Giulietta Sprint,Giulietta Sprint (101_),Coupe,1954,1962,PC
2,7551,Giulietta Berlina,Giulietta Berlina (101_),Saloon,1955,1962,PC
2,7552,Giulietta Spider,Giulietta Spider (101_),Coupe,1955,1962,PC
2,7553,Giulietta Estate,Giulietta Estate (101_),Estate,1957,1962,PC
2,7554,Giulietta Sprint Speciale,Giulietta Sprint Speciale (101_),Coupe,1958,1961,PC
2,7555,Giulietta Coupe,Giulietta Coupe (101_),Coupe,1958,1961,PC
2,7556,Matta Open Off-Road Vehicle,Matta Open Off-Road Vehicle (Ar5_),Off-Road,1952,1954,PC
2,7587,Mito,Mito (955_),Hatchback,2008,2018,PC
2,8603,Giulietta,Giulietta (940_),Hatchback,2010,2020,PC
2,9069,8c,8c (920_),Coupe,2007,2009,PC
2,9071,8c Spider,8c Spider (920_),Coupe,2008,2010,PC
2,9818,Romeo 2 Bus,Romeo 2 Bus (T10_),Bus,1956,1967,PC
2,9819,Romeo 2 Van,Romeo 2 Van (T10_),Van,1956,1967,PC
2,10044,A11 / A12 Platform/Chassis,A11 / A12 Platform/Chassis,Van,1967,1983,PC
2,10045,F11 / F12 Bus,F11 / F12 Bus,Bus,1967,1983,PC
2,10046,F11 / F12 Van,F11 / F12 Van,Van,1967,1983,PC
2,10181,Spider,Spider (102_),Coupe,1958,1961,PC
2,10217,Giulia Spider,Giulia Spider (101_),Coupe,1962,1969,PC
2,11241,4c,4c (960_),Coupe,2013,2020,PC
2,12776,Fnm 2000,Fnm 2000 (105_),Coupe,1960,1973,PC
2,13239,4c Spider,4c Spider (960_),Coupe,2014,2020,PC
2,30027,Berlina,Berlina (105_),Saloon,1966,1977,PC
2,30029,Giulia Sprint Coupe,Giulia Sprint Coupe,Coupe,1966,1968,PC
2,30034,Milano Saloon,Milano Saloon (162_),Saloon,1986,1989,PC
2,30035,Rl Saloon,Rl Saloon,Saloon,1921,1926,PC
2,30038,Sport Saloon,Sport Saloon,Saloon,1977,1979,PC
2,30039,Sprint Coupe,Sprint Coupe (902_),Coupe,1976,1989,PC
